时间,电机位置,电机力矩,关节实际位置（编码器）,关节理论位置（电机转换）,关节指令位置
0.566996,0,0,1.831,0.031957,-0.00656543
0.567996,0,0,1.831,0.031957,-0.00776133
0.568996,0,0,1.831,0.031957,-0.0090567
0.569996,0,0,1.831,0.031957,-0.0104514
0.570996,0,0,1.831,0.031957,-0.0119451
0.571996,0,0,1.831,0.031957,-0.0135379
0.572996,0,0,1.831,0.031957,-0.0152293
0.573996,0,0,1.831,0.031957,-0.0170192
0.574996,0,0,1.831,0.031957,-0.0189075
0.575996,0,0,1.831,0.031957,-0.0208937
0.576996,0,0,1.831,0.031957,-0.0229778
0.577996,0,0,1.831,0.031957,-0.0251593
0.578996,0,0,1.831,0.031957,-0.0274381
